#separator:Comma
#html:false
#guid column:4
expression,reading,meaning,guid
deadline,,截止日期,TIEvO5UgcU8EkDTFpaGw
spare time,,空閒時間,TMh1ZPEQdD13rGm0OzCx
attentively,,專注地,TOZi9JpfmRU1YOeY3Obo
stapler,,訂書機,TQbmJrYSmPl5prv9purw
conveniently,,方便地,TbMheQ05bYohp3g22uDX
careless,,粗心的,Tf8WgqfhIiRHdocAASMX
consist,,由...組成,Ttny3X7KnXeEHPsZ4C6d
update,,更新,TvnEOTbztxlvNBNkJgXF
workshop,,工作坊,U5G6Ejd5UknsTA5dNFhc
streamline,,精簡,U6Al8t1i9DnDppGJcMBD
promptly,,迅速地,U9CNyqABVRgYoKoVVw0K
earnings,,收入,UB0mlxfJd1tq6cNjHxX9
official,,官方,UE5klM29rw93Mg1x8Gzt
search engine,,搜尋引擎,UFqev9euqi2i6rr073Bf
invoice,,發票,UKsjwcRxyLcB0WnRsfAz
refusal,,拒絕,UL2gPyBYQdFUWPqYA62n
qualify,,合格,UOhhHiYJGhYz6MegjMO3
courier,,快遞,URy2awPlE0NwRjSoV5Qp
venue,,場地,UVS3S9snAh58NgDd0Btp
highly,,高度地,UaZP6KUUEgYQx2ymp3tS
monitor,,監控,Ul1WMJRW5cERjdtAshIt
fold,,摺疊,UoBS3DaioM3WvbeAKNTR
aisle,,走道,UvhK0WYvq759ZdjipYKV
premises,,場所,V5b2xqt8YdptHDfAyh9w
parcel,,包裹,V5fZsqbymz73MQATIPFz
financial,,金融的,VAwxnEUoax0I9DXN2V7L
authorize,,授權,VBZUwP2oRi4DsP3dA45p
flight attendant,,空服員,VBptLXE0vRIbnP1Tf6yQ
pointless,,無意義的,VFvX3BtYH4iWiVW1505f
vendor,,賣方,VG8b7mahPqPmCdMI86Px
code,,代碼,VGlRRd3CLAuQwM7B1wcy
enclose,,附上,VKOwqYWCF2nTpML8uaNG
justification,,正當理由,VMCt9eD75nZn795gj5GO
focus,,焦點,VR7Er4ivptVWRP1KQ3aN
withdrawal,,提款,VSPToKwsHZh3RQ3kgLyH
officer,,官員,VYEMojCMJFuS3AfJvrBR
unfortunately,,不幸地,VbH7fES8S67pVoOfALbZ
improper,,不適當,VcLX57vEc9BvRu17IAmo
reduce,,減少,VkfAgNHhnH2rJuhXbXHh
progressive,,進步的,VqHHuuMQa1eUfhXOy30P
restructure,,重組,VsYCTmw1YRAIP0X4Cpkc
systematic,,系統性的,VyX45E67D1jXwYKfgQyM
trust,,信任,VyhjiOrqiwAF6ioWKZp9
invite,,邀請,W6WiFjMCzC7b8LzGXto0
continuation,,延續,W9WRLO6rQXJXvbWHXeZr
connect,,連接,WFqU6PyL4yp1giEBn11k
environment,,環境,WQaaXCjWLqK4e3p5hsDr
transformation,,轉變,WRhH0ZwFnAnbEIT8EeyR
supplier,,供應商,WWFosDloLi8zIGW6pFUy
delighted,,高興的,WgBAVhP7GuxJKKbtsBBo
waterproof,,防水,WhrT4PfVN36M49BDgM8j
donate,,捐贈,WiPUmAa8w3aA6t4djEyJ
excursion,,遠足,WiZJxujUzYLK3bgomGlk
founded,,創立,Wkbyt2XKnq8K7JNkQgfn
remain,,留下,WrUZwZisyk4iBT5GZ0KK
opportunity,,機會,Wwmg5FfO1BWm3XFIA82L
economical,,經濟的,WzFzUl2t9EnfEaxR5p5c
awkward,,尷尬,X0hAQx5KVS7GFOeRCOwq
tradition,,傳統,XB3FHjyECwCTcn7iX2GY
luxurious,,奢華的,XHexPyTMGfrC49XiBtOK
appropriate,,適當,XIPIs4vn3PqBYOzhnqMM
influential,,有影響力的,XJRnT4xuqHGmMqnHHtxv
remind,,提醒,XMPRjnOCV461FueaQ5m0
approve,,贊成,XMUadfvBspEsoHdCqU5s
baggage claim,,行李領取處,XOmj4zoKifLNJQNRD92H
frank,,坦率,XQTlJ3OLCePUc4sKQHJx
reduction,,減少,XSKbJC6CzN3gc9kQOozg
consider,,考慮,XeZqO8v4tQzwpTssvMjq
bankrupt,,破產,XfsJVQNt54Xyva9lnAfQ
repayment,,還款,Xmwq5NIITS1W3qbCQORe
handle,,把手,XsUARSAO31aSRiyvsldR
landlord,,房東,XuTCi4ITeXCmNdxzVw74
mileage,,里程數,Y026Wkvih5AYeLoEAZm0
career,,職業,Y22ye8EwCQ9C8cH3XPqK
motivation,,動機,Y4hkqmEthO7aucCRLk6Z
administration,,行政,Y9IuMvl7DDTVlhMJTKhw
exploration,,探索,YBB7SQsWMDiXM2kCbDcF
right away,,立即,YBgb96KA9tBPwEI166U9
folder,,資料夾,YGzVXd8jD4kmmH7RjUkD
bottom line,,底線,YIDczvXqkT5VP7e0h8kU
prevention,,預防,YIvBpXMcLHior2L0FfZo
range,,範圍,YLCZRFB6lbMiAz2JJ22d
zero,,零,YRnUzieZIxk0X2Olw3zU
consistent,,一致的,YSPycgioegd9p5eOggNm
overview,,概覽,YV3lWjTUPkDsqOWFmsph
comprehensive,,全面的,YXwj0yG2HKcDFIDxJFeY
evolve,,演化,YZXXO3sK0DLiegfDBMwc
factor,,因素,Yfqao40l0AUedeSFrq4p
justify,,證明正當,Yfttjiof90e8lCmRKFOT
principle,,原則,YgFSCPFbxpzgSOEiJnYP
inflate,,充氣,Yh9kYOPAqn2LB98wL60P
intently,,專注地,Ywo9w1riJNVOKbv9qmaZ
recruit,,招募,YyoGVTWGMOEu23C23Pyz
relaxation,,放鬆,Z0UlxkJOujCtF2GP2XNU
prompt,,提示,Z1eOLNVYcacEWW2QmJFY
compensate,,補償,Z3La3ARH2gjoCizHN7C7
goods,,商品,Z4bxFGZ9VQMZMsrUKsKq
suggest,,建議,Z5BLPrI6jCOWmihKHlwv
profit,,利潤,ZEZgu4NWJy8sS7rm1iDI
commuter,,通勤族,ZIDY61hQIkMztiCuycKS
daily,,日常的,ZRMyAR4rlBF4h52hZapP
coverage,,覆蓋,ZgBzhzcZ9Nyl0jU66ivg
launch,,發射,ZgqoM5U3rFCm0lQK5Tbw
recipe,,食譜,ZhVPSDI5snSwrFwahaoR
justice,,正義,Zixtr6rl6SJlp3QtFreR
enthusiastically,,熱情地,ZnmPLvDSPUXHSxuLAR5S
enterprise,,企業,ZpVrF21KPs84MZBUmiax
inclined,,傾向的,ZplBNGSr6ZGfaEksWdla
branch,,樹枝,Zpm74DaEaMRgPWItiJzN
major,,主要,Ztlx3BF8RU9pgf3h2Wfm
transit,,過境,ZtolYLZjeOXcNhyPN1cA
vacant,,空缺,a4hA8ir90nDwOEHKw5hc
meeting,,會議,a5HRDk4Y4Z0F7BS2XWLI
narrow,,窄的,aDEl5nZ4ODKmcqtH8YxC
inquiry,,詢問,aEyIpzOXUbAobpEXgPxO
service,,服務,aINtlTAEP75DEZW8YGnW
knock,,敲,aJTDhpuhkDLeRUX7xo8Z
regularly,,定期地,aK8K8nGJPXFnKmJCwjJL
mention,,提及,aNB46XVMvSghnYinenG3
attract,,吸引,aPItdkmWVUrhcJ3jJNWy
insurance,,保險,aS3MZhOBu0gUg76ahrWt
theory,,理論,aXERftbiI5qk9fZOS6aD
admit,,承認,aaNFZceumLliT1rEzrLk
closure,,關閉,adYac4OaHf5Z40mMKb3s
corporate,,企業的,ahNJvSHzYC19naDX2kmS
yearly,,每年的,ar7bXM552b1oJ24A5h4b
input,,輸入,arBUIV1apaXL366coBoY
further,,更進一步,atBRM6TFMHgOZPSYG6Ax
secretarial,,秘書的,atETSVN0v5258AqnwPtH
memorandum,,備忘錄,axIC241oko3u0ltoTwei
supply,,供應,b2v0ykMjIQj6ydg2q6mF
continual,,連續的,bBsG2jWVl9MWFmDv5tF9
immediate,,立即,bF4V5Rc3g8kbkjhBOkIm
drastically,,劇烈地,bHELuQDk5V4kS1LsRfgc
sightseeing,,觀光,bHHy47K04c10DRYBCMm3
highlight,,強調,bIR2YtTmkMfGysS1kKX6
withdraw,,提款,bMWB6ToFubhcGMhaVXBq
motivate,,激勵,bNRnUg1890mEydlVozER
represent,,代表,bQHL1PbfcBcVt0N0hzsu
item,,項目,bQcsMa3VwfA8EUPaQRMP
engineering,,工程學,bZ79T1bp5xlAsOhRfjVf
venture,,冒險,bamSBy6kWAivOLKXCrkk
area,,區域,bbNYsQrePa9DynaJJlDK
medical,,醫學的,bcje64ftYRvPb9f05Ae0
employee,,員工,bcwbex2n4NIhV01yjxoS
income,,收入,bhOPnQWSexcKBUCmCKMN
tower,,塔,bi2s6clRsBxU0AAnpF6G
application,,應用程式,biJdrJq32MtBnoIaHVKg
agenda,,議程,bnwp0KaRzvqnuzbZTUmK
mortgage,,抵押貸款,boIqbBmH9At0oracyGL2
questionnaire,,問卷,bvHPk3AlSBGS9C4ogWwG
insure,,保險,c4riZRixeQY1LSizySFG
cell phone,,手機,c70PGP02dVxZdWsWDzGk
detailed,,詳細的,c7ufrcZrLenR7FPV5j55
hesitate,,猶豫,cAjYBexBnauVHuhSyWWa
permission,,許可,cDE7hUsuCWwTwW46d9yx
concern,,關心,cTb2kOV4GATuFCv5TPPx
temporary,,暫時,cWbswlyudhj2BPJ9eYli
distinctive,,獨特的,cYUQTqunpG9sbz9I4ov0
device,,裝置,cbDIuXJDTpX68hoz9ePJ
advanced,,高級,cetu9iRvpANVQ3vkHoNh
apply,,應用,chGrgm8u7Tbb37VgKwoF
backpack,,背包,cjD5kiBPX39gkA2O5lVy
shortage,,短缺,cko8fuH8sObWjNQdTcPo
knowledge,,知識,cky4ZMHDZHCvfQ7KVXvC
ability,,能力,coq4CALdN2Ve1mIwEIuV
compromise,,妥協,cwsj6MNYozcsO6Ff6gQw
agree,,同意,cyAsJSyIpgSdz45oLJgD
assume,,假設,cz7jQCjrFEBGHem71WoP
recommendation,,推薦,d11C6PPVGwgCBudtv2CR
appreciate,,欣賞,d3hqUdQfGzA5GIHOUpGe
advantageous,,有利的,dCPWq9OdM8IajxYL1TqS
economy,,經濟,dCuXy5DKcwvwyqbOA4S2
tax,,稅,dHAhL41I80kQgqRtYkhM
understand,,理解,dIZ8AQ1bIVOGWg0ZmthV
profession,,職業,dLkDVvaX4P0iCh80vYbg
elderly,,年長者,dLsbio6ql2wYQP7QXflH
basic,,基本,dNrgvJOOC4YusYdgekg5
solar,,太陽的,dRVM6ZcFA3fKeOxGGgfF
individual,,個人,dVR4RezBjf2WTXYoVJaG
relax,,放鬆,ddjgLaYX9jeKfG25fCUg
rival,,競爭對手,dfkLdy6X4TcURhjyfDto
technical,,技術性的,dqlII8grq8EFfnZskNQ0
renovation,,翻新,dr3SbToJBgI1XTm6YAKc
dismissive,,輕蔑的,drvTIHOAfpcQWyWTHkFX
schedule,,計畫,dsmbWmeeenAuPPAZKlSf
varied,,多樣化的,dyFqTWrML7xjpM0p8ElE
contribution,,貢獻,e0yYotQ37gbrFskSMcVZ
confirmation,,確認,e4gT03efsTxVW1hI6V8b
interview,,面試,eA57hWXBTpR4kUrBQ6GO
marketing,,行銷,eAnV90DYhLes1FV67Ypl
book,,書,eCZvrJIC4fL1qoV0Cidg
appetizer,,開胃菜,eEtmEVu9UUyZrIXCZMSO
function,,函數,eF7jm8NkM0l32ie30lpC
prefer,,偏好,eNoTw4yzb1N01otE4QSi
refrigerator,,電視冰箱,eRBCtdD7vpRlTMixa4n4
expensive,,昂貴,eVGQARugtXVKNlvhvBdn
opinion,,意見,eW4jkwLLQOPvwX9Wdly9
dessert,,甜點,eWIrLxyTZFGJg3XA082z
credentials,,證書,eakcFlytJGJxgOXK3gZ8
worth,,價值,ejCvK0OaaWc4cm1Ci3S8
repetitive,,重複的,enir6lBA9lDKFjLaop0C
detail,,細節,esFS8TZBIeVQ9spN9RG6
grievance,,委屈,eut3YdAYFlc0oWpiHQiy
resign,,辭職,evtgj1M448XVJjYD3WnC
homepage,,首頁,f12hP26oMQrAeeOprRdD
seminar,,研討會,f1bmSlrSV8TIJPjSMHNt
amusing,,有趣的,f4MKDbnSl1fYsUkgu7Ix
warranty,,保固,f4OQ8T9iIB1W9Aga6Huk
limited,,有限的,f743FQxgvkiCoQ6mjwvS
transportation,,運輸,fI2Y6XKl7mnTnjXB6Si9
coworker,,同事,fLddyIToyQQYIiEdPMkN
display,,顯示,fUBMJO1Rmul34DFGII6M
force,,力,fVnDvCZn7049NMIljpKI
maintenance,,維護,fYX7JpRqbXhvMgRrr6dM
sharp,,銳利,fh2fcX4BlKvTJWvvxT3f
ambitious,,有野心的,fjxRlRqaKvvVB442T6mF
electrical,,電氣的,fnuxGfJDM57l91dGMrxU
tourist,,觀光客,ftj0IHa0753ZVHZLaVdQ
determined,,堅定的,fwLXnT4eHdkIaviegR7E
fluctuation,,波動,fzvmAP9j3pJBJZ1iwyNc
stadium,,體育場,g0jh2qH4r1sWT3cVdpTI
credit,,信用,g5b1IoTyfrEuMGiVMnd5
vacation,,假期,gAb1xOlenQ6CEfVOuiv3
sale,,特賣,gCrunlQvBaIViXIFrWkq
attach,,附加,gImeGRZNwvz3eliQImKF
youth,,青春,gSQGL45gtJr7VC2VBymC
defective,,有缺陷的,gff9TvkEQa7vhNJDuCxO
demonstrate,,示範,gl7sxloYbtx5L3XoMHoK
advise,,建議,gpAxT1sZvWUAgYVw6lxR
performance,,表演,gs6pWjy1E0O6JFwq1Bab
utility bill,,水電費,gskduoKLxaryrgqTlXqt
goal,,目標,h2ofgRZePcHQUvKwcUa9
discussion,,討論,h8OWsMhRnRPoyZiLcXwB
chain store,,連鎖店,hAEUyr9xJbQ1KYPcXFte
enthusiastic,,熱情的,hCGN7VtnOgGMyTtvCzGQ
bank,,銀行,hCkskYphmlYWqKyafdC7
compatible,,相容,hDAlkUCXRrkQzXmnwyAv
reasonable,,合理的,hEDRE5oCW4zrIllk4iLM
obtain,,獲得,hEwOTaYep5IrnWUBngcB
suspicious,,可疑的,hGy9JcfqsMyQLRZmRY1c
intention,,意圖,hJPEeWmYew9OZA2ZJb4O
act,,行為,hNnIQkg4b7RxoiNZlDum
discrimination,,歧視,hRlymoeRmVppfCXQQJdH
experienced,,有經驗的,hSLK3NlZOJWeYoBYelTv
conduct,,實施,hT9Mxk0NsLRIrSvGLLxY
discuss,,討論,hTa2drv0hbMvbrP7OCDE
wage,,工資,hXLWn5SE5SATVXILpxJv
fundraising,,募款,hbjm3RhvDUfEk0a39mSl
report,,報告,hbyqUlncX0lqgWjwze6m
owe,,欠,hnYNO35peCfldS21nlZp
reserve,,預留,hv3fQQRZfjRRoTu3Fdm2
considerable,,相當的,hySODFANxrUQyaAqnquY
optimistic,,樂觀的,hz6kmn7UxXNu3FsLERh5
finance,,金融,i4tDBNL8OZTGryjvHEAC
poll,,民調,iANIxWyI2RptYiH40OKX
predictable,,可預測的,iBwaIliMhSOyb1BE2RnQ
advertise,,廣告,iCyR10oT3hE0xA7xjaJZ
mechanic,,機械師,iGlMBuus2Jxk8KmFi8A7
win,,贏,iH4zG9FW3Tbvwi9Yz7Cw
broaden,,拓寬,iIxtjGh4w7gBvqbuBeM1
relevant,,相關,iK3yxJfbulalMgAXoD0V
assemble,,組裝,iXDvtKAQPwQOLiQeFhbj
boast,,吹牛,iXasSyovYS9HDkBMpCdF
persuade,,說服,idJqYcxfmJNhy40BCTwU
review,,評論,ihxXWe7eTcdHitNYgzrd
promotion,,晉升,iiwCUWopQrnymNO8Kkos
argument,,爭論,ikWpdKzPdeXDLiNnFlbI
passenger,,乘客,ikr0S2zgsFcVFLNUlawv
profile,,簡介,iqUkebsMXurCs5tevEX4
boardroom,,會議室,j2VWf0tJt9t5VaUYJWpE
require,,需要,j3O7tqLKJGixtYqSnvbH
advantage,,優勢,j3eQCJsUNhjnxtyjtT81
anticipate,,預期,jAtOCdnmymYuKvD23zao
remittance,,匯款,jK03deZJbtNK4nktyuOe
fuel,,燃料,jPGIcrePVlTkmdoKfhOA
depend on,,依賴,jVWpduYtsfQhSldsbUCH
subscription,,訂閱,jVYXZGKjC14Qa7jUauqd
disposable,,一次性的,jXnFtMWx01eOkwwbzOwp
harmful,,有害的,jdvPd5x7QeZhx6n4SK6e
tourism,,觀光旅遊,jgPvwnEup9ysuBLcMq3L
equivalent,,相當的,jxxiwrnRRaVBeaV06qd0
factory,,工廠,k0ofpcJ5SFeQ1AoU3w5n
designate,,指定,kB8MP5w17qipMWIprcbZ
notice,,注意,kHzK7SpogsF70ECL5Hcd
spectator,,觀眾,kJ0DmJZ8DPX1OEfMKJ9S
nomination,,提名,kJULphc0F5dQPHwwc8lL
pessimistic,,悲觀的,kKfMmQx5QjSGcMFtEVHj
brand,,品牌,kNrKhEis5sL8HAxKqDZj
fail,,失敗,kPTLZW1nhHsifNhb9hw1
convince,,說服,kTdd25VtPTIyNtONsBNC
various,,各式各樣的,kYlKVXCEDoUbSGYQLAVm
enroll,,註冊,kci2lKu6wIZkIlftFtms
respectable,,體面的,kiIfBm0O4cK9brmdhqNB
boost,,提升,kjZKQVJ59R7ZQ2AxOS8x
raise,,提升,kpmNCRo35AokWDOlRQYZ
famed,,著名的,ktX4TMcIuftxeiML17gZ
comparable,,可比的,kuyi38mljnlPVOcrJTYI
software,,軟體,l1DPoex58jy6zrpJWRHo
emphasize,,強調,l2KTve8LnhHOfk2aOb8n
chairperson,,主席,lD7lthXSp6KRoJgFxtVl
beneficial,,有益的,lEc7SjQ7N35bVocCPdBt
delete,,刪除,lFuTYkPQJPQIber9f5Ej
debit,,借方,lP6HDHt7zLKQjS6NTd5j
facility,,設施 ,lSNTLWwdNU2tzzdTilDD
unspoiled,,未經破壞的,lUJJR49Dl3qfSTM5jIMa
gradually,,逐步地,lZQ8Djb86r8WGPDMjdCh
publicize,,宣傳,lbFVG9EL5OnslQ4cJsVe
misleading,,誤導的,lbQ47iK98LOQTVoKTr2s
purpose,,目的,lfQUUjH7u3HBXO8eqx0D
chef,,主廚,lfty3NmcroIdxBTi0fFT
terrible,,可怕的,lhFzSq5L0ix5uALXgPUm
platform,,月臺,ls6KJtZhuMNkj2dOmLeg
collect,,收集,lvE61pISjqZhpI5qPlKt
consumer,,消費者,lyMPEVujP9iBcRmkpVHI
refund,,退款,m4nOZYEDBXoElasXlNff
lend,,借,mAl7uKTZFI150dQxYfAf
characterize,,描述,mD9YrQ1I3VodKgYZEVnw
downsize,,裁員,mGFj3Cfi1BoCthOHkte9
medicine,,藥物,mHyknPSyrvW1lUCVdE8h
facilities,,設施,mMkKn7NpCQfife503eu6
present,,禮物,mTI4IWEFTxJSqQfzce4f
efficiently,,高效地,mWIwB0qEeXi5qxaM2nLH
consume,,消費,mYgbJX0rOwhsWUMxHd86
embark,,登船,mYvt6IvP4BZzYF5Yj4oy
crucial,,至關重要,mchfX9INw5g7gkscFxBF
recognize,,認識,mvO1VU0KK8FDLjanGzsa
deduct,,扣除,mwmgH67isnNiIIGuaNhu
select,,選擇,n1B14ut5WI9ZwaCjfMr8
accessible,,可以接近的,n1zt2p22Ci5nLevrpwgM
detect,,探測,n364SWWMFZGg9Nv6ubVv
revise,,修訂,n4WfkqKJyxZaNN0BbahM
executive,,行政主管,n5RXiXgmAh3uipBDc9RT
responsible,,負責,n5xp3tz2y5WcUSOGRPpD
director,,導演,n7g2Pxjuc0Omy3iy2BeZ
effectiveness,,有效性,n9hTnriGVaTDH9DXbxz9
monument,,紀念碑,nC6I2hLx9GT7nxQsPioU
specification,,規格說明書,nCl6TsSyElsTcL6iq8IA
cycle,,循環,nGnottVs8kQPSpYWNPov
roughly,,大致上,nQGuZ6QBteGYO27T9uOg
cruise,,巡航,nYZMft0CEUCyWjQ1JPFE
compliment,,稱讚,nbxUeMt9HbVannePjP3H
retire,,退休,neI2PR7h8zJxICFxGrLt
faulty,,有缺陷的,nm1P0CWIrkYT59nAx3Ku
express,,表達,nnjh7VFWRsGvuDNRy9VP
suggestion,,建議,nun1cMkZi8OIXKrE0Tzv
imply,,暗示,nv3NLWQnQST55ikv5UpT
imaginative,,富有想像力的,o08t9oob6EvLRmOqhUPA
receipt,,收據,o39QYds4QaJnxB4oZ6FZ
hesitation,,猶豫,oAtwc7QrilGNKdTSPTIT
consult,,諮詢,oAvvkPy1OianbdFE7iBj
criticize,,批評,oCb8RkGAPgdnSaKUjBXn
confirm,,確認,oFJgN88pTuCmfmyCmfqO
operation,,運作,oIJAY41dU2YvhfonFkHD
order,,訂單,oInYStbthgbQVVeL5Rq7
expenditure,,支出,oOGsvfIoTCp5P7FlTa4l
convincing,,有說服力的,oRxoWWQJIL3IbXBXmlfs
discount,,折扣,oSbWJHZgGKIOyt7g0Nay
double,,雙倍,oT81X6YU1oUO45hgosUm
client,,客戶,oVGnuUz24yUBW5ZXTeNA
borrow,,借,oWvBVBVCzgCW2cFwjUYh
renovate,,翻新,obAJg7B8WFtEZzJg0lTY
keep,,保持,onvpHbUNC0Se37TsZ0o7
alarm,,警報,oozsKcqCwreQDLM1mnhG
salvage,,打撈,orfpaYA7cvTDhDrmYVLq
walkway,,人行道,ovvtR6Y9YAUoru9thaEb
capital,,資本,ozbXRRo03RtWnVsJplNG
description,,描述,p1u8ppzaxkKOMobmmble
deposit,,存款,p4vgI1ahXCo9gnmvKyk6
advance,,前進,p68hJYBXLd4PvZukZIvd
approximate,,大致的,p7cXur96EjKYSxtMkvT0
shuttle,,接駁車,pAL2VVdd0QRn2Fk1uI9K
focused,,專注的,pa1gH7zlpcJkdiq0onef
elevator,,電梯,pc1Zd7dMcGiCY3xqdWzK
prepare,,準備,pcIbxDQAobJxbr8EcUol
resemble,,類似,phlK0maciRIoeYcKaA6l
steep,,陡峭,piQUVyLfOOLtA4bO3lDX
fault,,過失,pkDBBJQYwFl0JGzkdWIg
harbor,,港口,pnVNKawcJ8INXV146F6v
invaluable,,無價的,pne896oMrFIY6ldrZdqR
absolutely,,絕對,poFDdV2Nspn9ymqUGEAL
extension,,延伸,pyZEGLDR2Rfng6EMEjwf
enhance,,增強,pznxnHJZYvAZlqhhCNFy
impression,,印象,q8VVZ61hFu1LdaQVhezb
brush,,刷子,qJTdIJTmgxfiY2MlFeWL
guidelines,,指引方針,qMlIo1LkdGF5Uv7zSvjE
pursue,,追求,qNS8uUgD4ynDsXuDuhPF
decrease,,減少,qP9fqcQfe23QqWOic2i9
outlook,,前景,qW8iewiw1G8jR8otwNUA
control panel,,控制面板,qWwzhCRAu66AdKVk99Tx
selection,,選擇,qYc2w03zCQputxLXM7Co
popular,,受歡迎,qcdtCfgEvU0hrpe23MFY
release,,發布,qfYAd3LYp2CiG5QiFgln
department,,部門,qluc1l3fgF5fmMnEvVbU
accept,,接受,qlxgz2o30yS9pSO4m84d
overtime,,加班,qqK3CHmbQnMzuZtjXXww
arrangement,,安排,qzYGf6fZCy64U0zR114P
accomplish,,達成,qzetuKH3CHrphkedIiQO
tenant,,租客,r0eVx0Ta4HhRm8pc7nTx
sample,,樣本,r3zoCMLWAWeVgB66KxVZ
loyal,,忠誠,r45j314jK2Hlk7gD5Sk6
estimate,,估計,r9oHRRpHw6FMdG3r8V06
liability,,責任,rE1igCFuv05d5mujI4nj
compare,,比較,rGz5vsKM6XaiZ6CFgnrH
cutting edge,,尖端,rJlnCBpSb36obuknDA2w
aim,,目標,rQFN4Opck1NKlbQK5dG3
functional,,功能性的,rTqEhvKv1bpIshJDbiZi
respectful,,恭敬的,rZGThkymraYH0ovgCpV9
browser,,瀏覽器,rbybBFyvvekDlBXnp77b
adapt,,適應,rgOmkJYtPJQdo3s9Hzh2
criteria,,準則,rh9eDk1BsJmpZNisayyB
budget,,預算,rlkRBYigMlfa8Qvrwpl1
internship,,實習,rrsHBpbX5bRxcQksPzek
patented,,已取得專利的,ryjdKlwBzbExKid3xsP9
traffic,,交通,s0kEQZT68dknxQzZGJVm
figure,,圖形,s7gON3auAN7pHr2f9gb2
expect,,期待,sA73PY8Zi8ZvxopKvLbw
leak,,洩漏,sB1zWzJyAfKxxB0518cA
foreign,,外國的,sIuOc4T9BSelOkmsskly
refundable,,可退款的,sJcjXLdhWGbWnmVjQQdt
shipping,,運送,sLuXwwyDTlnl8deqULhk
staff,,員工,sRNUhiUqwZH3rOoUWlAe
growth,,成長,sSQNPqYWzjKSGR1q0zOn
vaccination,,疫苗接種,sU5DAcajuYhxcLu7KFkE
company,,公司,slmizhmxkH8BRMosDniG
isolate,,隔離,smfX21ErvclN5fb6XEdN
distinguish,,區別,snndft8wkZSUjHlVZ9kY
continue,,繼續,spTi6EdSXNIXEWClyLz2
improve,,改善,ssbdISEhdkswbs7q1IAk
power,,力,st7W3hyVgrgjDS3qx73X
lobby,,大廳,svaO0s5cWwx6H9hCh014
bill,,帳單,t0LS54HWXMt5JlOrDJ9h
objection,,反對,t4wDBykvSSfxrAnZhmWB
unfavorable,,不利的,t59VVYhBqWyVTjXsXafC
oblige,,強迫,tACJ9LoB0GPBRXS3CUv9
repair,,修理,tBLl2pWXRSV3Lo8oJcAx
request,,請求,tGeluNqIXOw0nAeY1mh4
transfer,,轉移,tIVkNOorfRanmGrXZM7b
dish,,盤子,tJKwW4AvovhH2UHFak6z
outstanding,,傑出的,tQY9YwD13OVpSeAZPPkX
intend,,打算,tcnLLffZ5DI09NSeXGOo
comply,,遵守,tem9oV6fAzMc0yLsPPvG
depart,,出發,tfLTM6tSkfr7Q9gEjoid
regret,,後悔,tfzBMHtYBMTNtRoh0e8Q
duty-free,,免稅,tgargzEznORDEdUBEXAW
implement,,實施,tiM7LSk4koJX24a2tjNT
additional,,附加的,tkYBCXSMTRp3GVSUgPOh
technician,,技術員,ttgydHIWzxwTje0SCGsS
cabin crew,,機組員,tu7rCqy4GvPlNrZNWNsx
employment,,就業,tydidNyjVOpSlSbxdDR2
currency,,貨幣,tz8VihRRrERsCjE3COWP
unconditional,,無條件的,u9MEtfUkzMSjUA5S5oBA
head office,,總公司,uBjIrQMIX5w6V8TqhJ7t
neighborhood,,鄰近社區,uCR7gmL4BRoWDRM3ZKkF
attendance,,出席,uDsqY5mAt5HXVhMjZFTN
cafeteria,,自助餐廳,uG8Cu8TkGOpuBV2CxBU0
wastage,,浪費,uHwNJJV9ZkACU1x5mkR7
tip,,小費,uIu2GrtrfcKrK1t2Ndmj
celebrate,,慶祝,uKzClAKNn7ofKRrhO0BZ
calculation,,計算,uL8UOsAhxs3WzGc80TKs
nominate,,提名,uLZhrn4BOxLI8yFx6dVW
attachment,,附件,uNXPyZFXmgZLYdJScZ29
replacement,,替換,uPEvx6yiXGIPAYeIyXwK
personalized,,個人化的,uPrA3AU2fvIvHUyKbAln
lie,,謊言,uR5h7dPxMzbQMoe6yRCO
admire,,欽佩,uShwqDAJmQbBfBiKcqiA
blanket,,毯子,uWJQmQFCJyLHBERzBY15
admittance,,入場許可,ueGdWPZMU3Pc8okg9Lbx
download,,下載,uepabTmgWYfcPQDQA0fZ
cause,,原因,uhNiYHLoEMNrtNcSSR3U
appreciation,,欣賞,uiRJzOvMMKh0boynn8gx
switchboard,,總機,ulTZGq6nnCuTly3hPNgy
effectively,,有效地,umGtgFszP2yS7aViPbvW
fulfill,,實現,up2C3ENXaoN9GdZSmLIT
joint,,關節,v1670SC1W0bUnBc2qUjZ
expand,,擴展,v3Tb4VaO745wRP0VB4u2
runway,,跑道,v3lwg2RTXxJktUdT3X1c
realize,,實現,v5igY3h6tetFGFNtWlHV
mandatory,,強制的,v7isW481MtHeWSjD5ReA
identify,,識別,vAwmvRlQU57jMyBas8fZ
employ,,僱用,vBsmK1JrCFmas7in18Km
terminate,,終止,vCTxBIL1Z8MXR4idAHv5
extend,,延伸,vCpJeq35D5swLkJuoXY9
customs,,海關,vFWok8nTZKSWL7dCUOea
classification,,分類,vMotc7ne8yJzfHirlys5
authority,,權威,vPdsBrRRVE8cOwiYgrCA
invention,,發明,vPtVriA4eAGhsMFxF9Mq
accommodation,,住宿,vQp9PIJ9AQl2Zl1zjqjN
conclude,,推斷,vakxdzdK7mQWOAEZc99j
